Waypoint,Zone,Lat,Long,Site,Season,Tide_time,Tide,Time,Temp_in,Salinity,Phosphate,pH,TA,percent_sgd,Variables,Values,mean_of_values
20,Ambient,21.27185,-157.76279,W,FALL,High_Day,High,Day,28.49729411,34.59678819,0.12,8.139,2254.998379,0.248062016,NN,0.27,0.39575
1,Transition,21.27531,-157.76181,W,FALL,Low_Night,Low,Night,24.4424524,28.02024372,0.49,7.964,2155.302454,19.58139535,Silicate,151.56,24.96975
1,Transition,21.27531,-157.76181,W,FALL,Low_Night,Low,Night,24.4424524,28.02024372,0.49,7.964,2155.302454,19.58139535,NN,6.98,2.604625
2,Transition,21.27523,-157.76265,W,FALL,Low_Night,Low,Night,24.17257622,25.96034904,0.62,8.006,2133.421493,25.6369509,Silicate,198.43,24.96975
2,Transition,21.27523,-157.76265,W,FALL,Low_Night,Low,Night,24.17257622,25.96034904,0.62,8.006,2133.421493,25.6369509,NN,11.69,2.604625
3,Transition,21.27504,-157.76328,W,FALL,Low_Night,Low,Night,24.81139318,30.53896708,0.36,8.008,2205.1881,12.17700258,Silicate,94.25,24.96975
3,Transition,21.27504,-157.76328,W,FALL,Low_Night,Low,Night,24.81139318,30.53896708,0.36,8.008,2205.1881,12.17700258,NN,4.08,2.604625
4,Transition,21.27449,-157.76402,W,FALL,Low_Night,Low,Night,25.62518103,33.16097084,0.18,7.97,2249.618001,4.468992248,Silicate,34.59,24.96975
4,Transition,21.27449,-157.76402,W,FALL,Low_Night,Low,Night,25.62518103,33.16097084,0.18,7.97,2249.618001,4.468992248,NN,0.76,2.604625
5,Diffuse,21.27503,-157.7617,W,FALL,Low_Night,Low,Night,24.45273464,28.02859405,0.49,7.999,2129.366609,19.55684755,Silicate,151.37,24.96975
5,Diffuse,21.27503,-157.7617,W,FALL,Low_Night,Low,Night,24.45273464,28.02859405,0.49,7.999,2129.366609,19.55684755,NN,7.39,2.604625
6,Diffuse,21.27485,-157.76234,W,FALL,Low_Night,Low,Night,25.04213669,32.3602181,0.22,7.963,2207.789729,6.822997416,Silicate,52.81,24.96975
6,Diffuse,21.27485,-157.76234,W,FALL,Low_Night,Low,Night,25.04213669,32.3602181,0.22,7.963,2207.789729,6.822997416,NN,2.14,2.604625
7,Diffuse,21.27463,-157.76318,W,FALL,Low_Night,Low,Night,25.28877011,33.64045561,0.15,7.995,2237.131953,3.059431525,Silicate,23.68,24.96975
7,Diffuse,21.27463,-157.76318,W,FALL,Low_Night,Low,Night,25.28877011,33.64045561,0.15,7.995,2237.131953,3.059431525,NN,0.82,2.604625
8,Diffuse,21.27436,-157.76364,W,FALL,Low_Night,Low,Night,25.46793771,33.91074262,0.13,7.954,2252.364904,2.264857881,Silicate,17.53,24.96975
8,Diffuse,21.27436,-157.76364,W,FALL,Low_Night,Low,Night,25.46793771,33.91074262,0.13,7.954,2252.364904,2.264857881,NN,0.42,2.604625
9,Diffuse,21.27456,-157.76126,W,FALL,Low_Night,Low,Night,26.60597928,32.41032009,0.16,7.956,2213.643995,6.675710594,Silicate,51.67,24.96975
9,Diffuse,21.27456,-157.76126,W,FALL,Low_Night,Low,Night,26.60597928,32.41032009,0.16,7.956,2213.643995,6.675710594,NN,1.01,2.604625
10,Diffuse,21.27427,-157.76208,W,FALL,Low_Night,Low,Night,25.4691375,34.45219563,0.09,8.012,2234.700866,0.673126615,Silicate,5.21,24.96975
10,Diffuse,21.27427,-157.76208,W,FALL,Low_Night,Low,Night,25.4691375,34.45219563,0.09,8.012,2234.700866,0.673126615,NN,0.45,2.604625
11,Diffuse,21.27399,-157.76295,W,FALL,Low_Night,Low,Night,25.48436687,34.47592815,0.08,8.008,2245.851148,0.603359173,Silicate,4.67,24.96975
11,Diffuse,21.27399,-157.76295,W,FALL,Low_Night,Low,Night,25.48436687,34.47592815,0.08,8.008,2245.851148,0.603359173,NN,0.3,2.604625
12,Diffuse,21.27377,-157.76344,W,FALL,Low_Night,Low,Night,25.47615229,34.39198535,0.09,8.002,2237.72937,0.850129199,Silicate,6.58,24.96975
12,Diffuse,21.27377,-157.76344,W,FALL,Low_Night,Low,Night,25.47615229,34.39198535,0.09,8.002,2237.72937,0.850129199,NN,0.25,2.604625
13,Ambient,21.27353,-157.76089,W,FALL,Low_Night,Low,Night,25.8971684,34.557234,0.08,8.052,2220.377584,0.364341085,Silicate,2.82,24.96975
13,Ambient,21.27353,-157.76089,W,FALL,Low_Night,Low,Night,25.8971684,34.557234,0.08,8.052,2220.377584,0.364341085,NN,0.15,2.604625
14,Ambient,21.27328,-157.76164,W,FALL,Low_Night,Low,Night,25.63735834,34.59107481,0.07,7.987,2244.502057,0.264857881,Silicate,2.05,24.96975
14,Ambient,21.27328,-157.76164,W,FALL,Low_Night,Low,Night,25.63735834,34.59107481,0.07,7.987,2244.502057,0.264857881,NN,0.09,2.604625
15,Ambient,21.27309,-157.76244,W,FALL,Low_Night,Low,Night,25.65576359,34.56558433,0.06,8.039,2216.418806,0.339793282,Silicate,2.63,24.96975
15,Ambient,21.27309,-157.76244,W,FALL,Low_Night,Low,Night,25.65576359,34.56558433,0.06,8.039,2216.418806,0.339793282,NN,0.12,2.604625
16,Ambient,21.27288,-157.76306,W,FALL,Low_Night,Low,Night,25.64365472,34.56074992,0.09,8.04,2248.676797,0.354005168,Silicate,2.74,24.96975
16,Ambient,21.27288,-157.76306,W,FALL,Low_Night,Low,Night,25.64365472,34.56074992,0.09,8.04,2248.676797,0.354005168,NN,0.16,2.604625
17,Ambient,21.27254,-157.76073,W,FALL,Low_Night,Low,Night,26.45559787,34.63018951,0.1,8.005,2263.444971,0.149870801,Silicate,1.16,24.96975
17,Ambient,21.27254,-157.76073,W,FALL,Low_Night,Low,Night,26.45559787,34.63018951,0.1,8.005,2263.444971,0.149870801,NN,0.18,2.604625
18,Ambient,21.27214,-157.76118,W,FALL,Low_Night,Low,Night,26.73234029,34.6359029,0.1,8.001,2248.438919,0.133074935,Silicate,1.03,24.96975
18,Ambient,21.27214,-157.76118,W,FALL,Low_Night,Low,Night,26.73234029,34.6359029,0.1,8.001,2248.438919,0.133074935,NN,0.17,2.604625
19,Ambient,21.27206,-157.76196,W,FALL,Low_Night,Low,Night,26.78095108,34.6359029,0.09,8.003,2265.104985,0.133074935,Silicate,1.03,24.96975
19,Ambient,21.27206,-157.76196,W,FALL,Low_Night,Low,Night,26.78095108,34.6359029,0.09,8.003,2265.104985,0.133074935,NN,0.08,2.604625
20,Ambient,21.27185,-157.76279,W,FALL,Low_Night,Low,Night,26.82956186,34.59019583,0.07,8.022,2247.691473,0.26744186,Silicate,2.07,24.96975
20,Ambient,21.27185,-157.76279,W,FALL,Low_Night,Low,Night,26.82956186,34.59019583,0.07,8.022,2247.691473,0.26744186,NN,0.08,2.604625
1,Transition,21.27531,-157.76181,W,FALL,High_Night,High,Night,25.68967338,34.39330382,0.09,7.963,2239.324994,0.84625323,Silicate,6.55,4.252375
1,Transition,21.27531,-157.76181,W,FALL,High_Night,High,Night,25.68967338,34.39330382,0.09,7.963,2239.324994,0.84625323,NN,0.35,0.39575
2,Transition,21.27523,-157.76265,W,FALL,High_Night,High,Night,25.09458918,33.76834751,0.15,7.948,2262.677419,2.683462532,Silicate,20.77,4.252375
2,Transition,21.27523,-157.76265,W,FALL,High_Night,High,Night,25.09458918,33.76834751,0.15,7.948,2262.677419,2.683462532,NN,1.4,0.39575
3,Transition,21.27504,-157.76328,W,FALL,High_Night,High,Night,24.9418639,33.73670416,0.12,7.861,2255.300778,2.776485788,Silicate,21.49,4.252375
3,Transition,21.27504,-157.76328,W,FALL,High_Night,High,Night,24.9418639,33.73670416,0.12,7.861,2255.300778,2.776485788,NN,1.2,0.39575
4,Transition,21.27449,-157.76402,W,FALL,High_Night,High,Night,25.321412810000002,34.06104857,0.07,7.928,2266.715279,1.822997416,Silicate,14.11,4.252375
4,Transition,21.27449,-157.76402,W,FALL,High_Night,High,Night,25.321412810000002,34.06104857,0.07,7.928,2266.715279,1.822997416,NN,0.42,0.39575
5,Diffuse,21.27503,-157.7617,W,FALL,High_Night,High,Night,25.65252817,34.48515746,0.11,7.964,2251.264292,0.57622739,Silicate,4.46,4.252375
5,Diffuse,21.27503,-157.7617,W,FALL,High_Night,High,Night,25.65252817,34.48515746,0.11,7.964,2251.264292,0.57622739,NN,0.29,0.39575
6,Diffuse,21.27485,-157.76234,W,FALL,High_Night,High,Night,25.5747585,34.34364133,0.21,7.947,2258.76146,0.992248062,Silicate,7.68,4.252375
6,Diffuse,21.27485,-157.76234,W,FALL,High_Night,High,Night,25.5747585,34.34364133,0.21,7.947,2258.76146,0.992248062,NN,0.57,0.39575
7,Diffuse,21.27463,-157.76318,W,FALL,High_Night,High,Night,25.35710456,34.42714464,0.1,7.943,2266.833129,0.746770026,Silicate,5.78,4.252375
7,Diffuse,21.27463,-157.76318,W,FALL,High_Night,High,Night,25.35710456,34.42714464,0.1,7.943,2266.833129,0.746770026,NN,0.24,0.39575
8,Diffuse,21.27436,-157.76364,W,FALL,High_Night,High,Night,25.30856245,34.38011909,0.1,7.929,2249.646663,0.88501292,Silicate,6.85,4.252375
8,Diffuse,21.27436,-157.76364,W,FALL,High_Night,High,Night,25.30856245,34.38011909,0.1,7.929,2249.646663,0.88501292,NN,0.33,0.39575
9,Diffuse,21.27456,-157.76126,W,FALL,High_Night,High,Night,26.42200645,34.54185181,0.09,7.948,2259.562288,0.409560724,Silicate,3.17,4.252375
9,Diffuse,21.27456,-157.76126,W,FALL,High_Night,High,Night,26.42200645,34.54185181,0.09,7.948,2259.562288,0.409560724,NN,0.24,0.39575
10,Diffuse,21.27427,-157.76208,W,FALL,High_Night,High,Night,25.65082403,34.5075715,0.09,7.94,2263.486124,0.510335917,Silicate,3.95,4.252375
10,Diffuse,21.27427,-157.76208,W,FALL,High_Night,High,Night,25.65082403,34.5075715,0.09,7.94,2263.486124,0.510335917,NN,0.25,0.39575
11,Diffuse,21.27399,-157.76295,W,FALL,High_Night,High,Night,25.41696805,34.50581354,0.08,7.916,2257.603516,0.515503876,Silicate,3.99,4.252375
11,Diffuse,21.27399,-157.76295,W,FALL,High_Night,High,Night,25.41696805,34.50581354,0.08,7.916,2257.603516,0.515503876,NN,0.18,0.39575
12,Diffuse,21.27377,-157.76344,W,FALL,High_Night,High,Night,25.36276525,34.54888366,0.11,7.901,2266.414651,0.388888889,Silicate,3.01,4.252375
12,Diffuse,21.27377,-157.76344,W,FALL,High_Night,High,Night,25.36276525,34.54888366,0.11,7.901,2266.414651,0.388888889,NN,0.13,0.39575
13,Ambient,21.27353,-157.76089,W,FALL,High_Night,High,Night,26.48281306,34.59898565,0.12,7.977,2281.690363,0.241602067,Silicate,1.87,4.252375
13,Ambient,21.27353,-157.76089,W,FALL,High_Night,High,Night,26.48281306,34.59898565,0.12,7.977,2281.690363,0.241602067,NN,0.15,0.39575
14,Ambient,21.27328,-157.76164,W,FALL,High_Night,High,Night,26.37324359,34.59722768,0.09,7.974,2260.598828,0.246770026,Silicate,1.91,4.252375
14,Ambient,21.27328,-157.76164,W,FALL,High_Night,High,Night,26.37324359,34.59722768,0.09,7.974,2260.598828,0.246770026,NN,0.14,0.39575
15,Ambient,21.27309,-157.76244,W,FALL,High_Night,High,Night,25.90139646,34.60425954,0.09,7.945,2268.553037,0.226098191,Silicate,1.75,4.252375
15,Ambient,21.27309,-157.76244,W,FALL,High_Night,High,Night,25.90139646,34.60425954,0.09,7.945,2268.553037,0.226098191,NN,0.13,0.39575
16,Ambient,21.27288,-157.76306,W,FALL,High_Night,High,Night,25.82313164,34.59019583,0.1,7.926,2261.428824,0.26744186,Silicate,2.07,4.252375
16,Ambient,21.27288,-157.76306,W,FALL,High_Night,High,Night,25.82313164,34.59019583,0.1,7.926,2261.428824,0.26744186,NN,0.14,0.39575
17,Ambient,21.27254,-157.76073,W,FALL,High_Night,High,Night,26.38784991,34.61348885,0.13,8.01,2253.449673,0.198966408,Silicate,1.54,4.252375
17,Ambient,21.27254,-157.76073,W,FALL,High_Night,High,Night,26.38784991,34.61348885,0.13,8.01,2253.449673,0.198966408,NN,0.15,0.39575
18,Ambient,21.27214,-157.76118,W,FALL,High_Night,High,Night,26.52661899,34.61700478,0.11,8.001,2266.47176,0.188630491,Silicate,1.46,4.252375
18,Ambient,21.27214,-157.76118,W,FALL,High_Night,High,Night,26.52661899,34.61700478,0.11,8.001,2266.47176,0.188630491,NN,0.14,0.39575
19,Ambient,21.27206,-157.76196,W,FALL,High_Night,High,Night,26.76743323,34.61964173,0.08,7.936,2255.282957,0.180878553,Silicate,1.4,4.252375
19,Ambient,21.27206,-157.76196,W,FALL,High_Night,High,Night,26.76743323,34.61964173,0.08,7.936,2255.282957,0.180878553,NN,0.09,0.39575
20,Ambient,21.27185,-157.76279,W,FALL,High_Night,High,Night,27.00824746,34.5717372,0.11,7.938,2264.389536,0.321705426,Silicate,2.49,4.252375
20,Ambient,21.27185,-157.76279,W,FALL,High_Night,High,Night,27.00824746,34.5717372,0.11,7.938,2264.389536,0.321705426,NN,0.76,0.39575
24,Transition,21.25873,-157.79053,BP,FALL,Low_Day,Low,Day,26.76143858,32.86348161,0.33,7.967,2332.185876,5.595717884,Silicate,44.43,24.96975
24,Transition,21.25873,-157.79053,BP,FALL,Low_Day,Low,Day,26.76143858,32.86348161,0.33,7.967,2332.185876,5.595717884,NN,6.82,2.604625
28,Transition,21.25846,-157.79051,BP,FALL,Low_Day,Low,Day,26.69573782,33.84424847,0.26,8.082,2286.930259,2.634760705,Silicate,20.92,24.96975
28,Transition,21.25846,-157.79051,BP,FALL,Low_Day,Low,Day,26.69573782,33.84424847,0.26,8.082,2286.930259,2.634760705,NN,3.87,2.604625
40,Transition,21.25834,-157.79048,BP,FALL,Low_Day,Low,Day,27.00614145,33.73870444,0.24,8.08,2269.68769,2.953400504,Silicate,23.45,24.96975
40,Transition,21.25834,-157.79048,BP,FALL,Low_Day,Low,Day,27.00614145,33.73870444,0.24,8.08,2269.68769,2.953400504,NN,5.17,2.604625
32,Diffuse,21.25817,-157.79045,BP,FALL,Low_Day,Low,Day,27.31654507,34.63728879,0.12,8.089,2242.025661,0.240554156,Silicate,1.91,24.96975
32,Diffuse,21.25817,-157.79045,BP,FALL,Low_Day,Low,Day,27.31654507,34.63728879,0.12,8.089,2242.025661,0.240554156,NN,0.14,2.604625
36,Diffuse,21.25784,-157.79033,BP,FALL,Low_Day,Low,Day,27.05741591,34.63979181,0.11,8.062,2243.54534,0.232997481,Silicate,1.85,24.96975
36,Diffuse,21.25784,-157.79033,BP,FALL,Low_Day,Low,Day,27.05741591,34.63979181,0.11,8.062,2243.54534,0.232997481,NN,0.09,2.604625
23,Transition,21.259,-157.79021,BP,FALL,Low_Day,Low,Day,26.86921055,33.41498046,0.27,7.963,2320.817047,3.930730479,Silicate,31.21,24.96975
23,Transition,21.259,-157.79021,BP,FALL,Low_Day,Low,Day,26.86921055,33.41498046,0.27,7.963,2320.817047,3.930730479,NN,5.13,2.604625
